episode,reward,length,collision,coverage,total_collision,total_coverage
0,-2.8518025277007837,199,0,0.3438362844306117,0.0,0.3438362844306117
1,-515.119421094656,199,0,0.3660887068954495,0.0,0.7099249913260612
2,-21.414838083088398,199,0,0.33021095037729575,0.0,1.0401359417033569
3,48.825522512197495,199,0,0.14323182992621522,0.0,1.183367771629572
4,-7.605624069692567,79,1,0.21483347764745234,1.0,1.3982012492770244
5,-16.913880991749465,79,1,0.27309550800769183,2.0,1.6712967572847162
6,-71.5102623855928,199,0,0.4801685571919808,2.0,2.151465314476697
7,-5.383672419004142,79,1,0.15716402615428518,3.0,2.3086293406309824
8,-33.11618658971565,199,0,0.3959705008027523,3.0,2.7045998414337347
9,-539.0728461742401,199,0,0.20890878086033615,3.0,2.9135086222940707
10,-530.8466637134552,199,0,0.167571174522275,3.0,3.0810797968163457
11,32.824923229403794,199,0,0.1212567790187352,3.0,3.202336575835081
