#{"t_start": 1764866286.70054, "env_id": "None"}
r,l,t,collision,coverage_total
-2.851803,199,19.07466,0,68.42342060169173
-515.119422,199,36.09483,0,72.85165267219445
-21.414838,199,53.747171,0,65.71197912508185
48.825522,199,70.926535,0,28.50313415531683
-7.605624,79,86.996516,1,16.971844734148736
-16.913881,79,102.627964,1,21.574545132607657
-71.510262,199,120.048431,0,95.55354288120418
-5.383672,79,135.700599,1,12.41595806618853
-33.116187,199,153.07401,0,78.79812965974772
-539.072847,199,170.574732,0,41.57284739120689
-530.846664,199,187.751951,0,33.34666372993272
32.824923,199,204.803751,0,24.130099024728306
-42.460115,199,222.658374,0,94.74656591664302
-34.481226,199,239.877535,0,77.4221999417732
-77.592657,199,257.587267,0,135.60067677602814
19.386722,199,274.858585,0,27.46915414868799
-28.268409,199,292.897955,0,73.6650238994
6.08901,199,310.230249,0,45.00792067433448
5.540486,199,328.168215,0,46.451061925922154
41.265514,199,345.628305,0,20.866723722546944
-207.5,80,362.100515,1,0.06065677827423766
-232.152225,88,378.076397,1,4.799508641863958
-61.135404,86,394.045712,1,79.42312730012978
6.492258,79,409.860904,1,4.45196875883966
2.284992,199,427.14343,0,42.02065106220846
-539.318792,199,444.493173,0,41.81879205825418
-106.976371,199,462.931452,0,181.1341064850701
-5.707444,161,479.797773,1,31.64882760434517
4.798224,79,495.605079,1,3.6981436196646045
-22.386964,199,513.300786,0,71.29156890080813
-11.556826,199,531.787459,0,53.92287595377504
-14.984597,199,549.065077,0,60.9590304521344
10.238619,79,565.8026,1,0.21565074081096006
-499.324185,199,583.261541,0,1.8241846998032911
42.147357,199,601.760499,0,23.020606234904953
-3.744683,79,617.732491,1,12.605488875405491
-207.554294,80,634.219294,1,0.054294109750123755
-30.740527,140,651.069021,1,50.59076523594607
-18.984972,199,669.198603,0,62.769230971755256
4.15636,79,685.359112,1,5.690293476464284
-502.749231,187,702.973797,1,28.01980816289922
-331.502302,127,719.760617,1,6.648972421478119
-512.886964,199,737.207127,0,59.55241444366778
-531.481181,199,755.024504,0,33.98118058827357
-215.391104,79,771.625731,1,10.704083031911386
28.748105,199,789.445544,0,32.908561151571234
-86.217954,199,807.858778,0,132.78229809329918
4.534689,199,825.523013,0,50.65425048828638
-3.18981,79,842.467086,1,10.973402833610496
-532.343935,199,860.254097,0,64.47646568524783
39.544644,199,878.635119,0,13.14098974918637
5.060456,199,896.656229,0,43.760866759849286
-73.721685,88,913.702459,1,88.0
-513.183861,199,931.74425,0,15.683861041023555
47.06819,172,949.65032,1,1.495204902658818
26.348484,199,967.58581,0,25.99560403190975
72.306722,199,986.426395,0,6.991573442718695
-10.135723,199,1004.671209,0,58.880549932766456
-619.741298,199,1022.820861,0,122.24129844822612
32.041721,199,1040.802287,0,43.4851086852454
-26.576888,199,1058.663566,0,64.83863001463294
-478.960288,199,1076.629189,0,33.67646676668438
11.372347,199,1094.468192,0,44.06731109401368
-57.512737,199,1112.527436,0,96.32148702947694
-10.656203,199,1130.325739,0,58.11781313753378
26.986333,199,1149.455307,0,25.481381562069224
-27.240266,199,1167.6769,0,72.75970343542913
-12.234633,199,1186.429982,0,57.01439952822855
-74.551233,199,1204.361409,0,114.68558451480965
-26.641026,199,1222.934022,0,74.06974919301669
2.292658,81,1239.576483,1,8.673498653681074
5.72467,199,1258.148545,0,50.010496645998025
36.188831,199,1276.544518,0,21.99449156704764
-47.078576,199,1294.977298,0,92.0240805471073
46.390458,199,1313.078071,0,17.579659520912305
-306.214457,199,1331.223225,0,99.99226539251148
-28.078544,199,1349.411441,0,61.919812197798905
-39.195091,199,1367.790874,0,81.31230243571676
-211.762765,80,1384.360719,1,4.366332502103317
3.527775,77,1400.995257,1,10.417180722360257
21.570173,199,1419.983159,0,30.436386700520533
-2.202698,199,1438.266439,0,60.403663981296084
-136.090589,199,1457.337213,0,190.65461383044664
38.480231,199,1475.59533,0,29.78832749109569
3.706242,80,1493.222187,1,5.640937596484004
9.245515,80,1509.964591,1,0.0601502502133039
3.472689,199,1528.951675,0,40.82539258831743
-120.335572,150,1546.671931,1,150.0
43.698879,199,1565.437832,0,17.129321382538922
-0.983474,79,1582.403563,1,9.698657195873702
37.345233,199,1600.907699,0,15.155654591260282
39.349559,199,1619.52298,0,15.909775373164042
60.57298,199,1637.957106,0,24.78570586486762
72.545127,199,1656.313061,0,9.705216785941875
-30.787751,157,1674.239364,1,49.38967545613631
-57.355829,199,1693.44317,0,100.52042482580154
31.801518,199,1711.784007,0,37.28048483053572
-5.249303,79,1729.41931,1,12.973548312716686
-696.5,199,1747.760925,0,199.0
22.393367,199,1767.144028,0,30.784635979365337
10.252388,80,1784.346921,1,0.0
22.528055,199,1802.981374,0,28.698597879512167
-65.015239,199,1821.265035,0,8.320531557191302
33.3713,199,1840.005357,0,27.66022949302125
-49.806005,199,1858.577621,0,86.87504254186985
16.466512,199,1877.225338,0,37.30549699591727
21.082017,199,1896.880069,0,29.812169834288735
11.911109,199,1915.649706,0,33.512137118470385
19.669489,199,1934.954295,0,35.57616685748468
8.275559,199,1953.586946,0,44.88699437074102
-61.208444,199,1972.456002,0,78.98416123285115
-17.884796,75,1989.561182,1,25.539013215817835
3.201323,80,2006.862601,1,8.750492330782091
13.062017,132,2024.835791,1,12.850505806241733
-4.545256,199,2043.43231,0,56.15073660785907
26.264011,199,2062.953967,0,35.56080177732807
54.150124,199,2081.673781,0,14.65837268814241
0.884814,77,2099.495048,1,9.130045161165619
-16.616257,199,2118.399885,0,62.78871993404903
15.796842,199,2137.748156,0,53.60286483179052
-1.791869,79,2154.902782,1,10.707394108528275
-25.271384,199,2173.969384,0,64.56274904408829
-58.379849,86,2191.323833,1,70.62021798113062
-71.196825,199,2210.186783,0,109.0241492141366
12.446326,199,2229.129431,0,54.24818073420373
7.79022,121,2247.026202,1,15.544718708722131
-515.375978,199,2266.657547,0,17.875978295480078
-5.20751,199,2285.538663,0,37.62659091066783
37.933523,199,2305.276834,0,18.41582257763232
-57.439384,199,2324.061062,0,95.14032691256891
6.931388,79,2341.676419,1,4.335162267415076
-97.154828,120,2359.609766,1,120.0
-227.412127,199,2378.600984,0,61.81266591030803
-61.401929,199,2397.621978,0,102.60040575762285
-97.11611,199,2416.587724,0,141.3159301196451
-7.426604,199,2436.546563,0,55.90165630299652
-80.423396,199,2455.44308,0,138.87159257575394
30.165479,199,2474.569039,0,31.930782262967387
-218.738957,82,2492.229607,1,6.464562201971322
8.774334,199,2511.586945,0,41.86028404777437
30.526791,199,2530.706098,0,32.07632356081685
4.310685,199,2549.853805,0,44.00271199292969
22.075516,199,2569.829594,0,38.70274562516988
-105.328301,199,2589.149173,0,187.0101747908852
18.251444,199,2608.403672,0,34.26197762678796
8.976403,199,2627.765778,0,42.37054778621076
59.845375,199,2647.330579,0,3.2247513080303705
-198.542367,199,2667.691988,0,33.44068544225812
-11.102421,199,2686.859258,0,57.55252841225209
-77.877261,199,2707.128977,0,92.53035624523278
-11.999248,199,2726.491654,0,61.61195259810096
-21.152527,199,2745.68286,0,67.59075745193267
-25.680188,199,2765.042016,0,71.47564421292508
31.389645,199,2784.164845,0,25.70735329441068
-587.171887,199,2804.260629,0,89.67188701447847
0.745399,199,2823.454186,0,55.819879802652366
-62.729046,70,2841.534736,1,67.50955290767962
-112.589119,187,2860.720676,1,151.01846508259524
-214.505305,80,2878.632572,1,7.251141643358533
-7.611354,78,2896.346132,1,15.88136886828903
0.005782,79,2914.311293,1,9.15863891601407
-65.550118,199,2933.774228,0,104.09829341306781
-304.616097,199,2953.597567,0,199.0
-546.642239,199,2974.4839,0,49.142239380897365
-0.04874,80,2992.429546,1,10.429373363992891
-15.904705,79,3010.490716,1,21.589206530561345
-20.793137,199,3030.227902,0,66.07251343430116
-546.971114,199,3049.902739,0,85.78920419473371
-4.182749,79,3067.956088,1,12.57323389795813
-7.114785,78,3086.051301,1,12.741155555959367
-582.008365,199,3106.641913,0,84.50836536298328
-61.761135,199,3126.346855,0,96.67969916881952
-52.515924,199,3146.070723,0,98.0011010079951
-71.092246,199,3165.958899,0,104.71126152713505
-7.059251,199,3185.666206,0,62.24761618476592
-39.336202,199,3206.182142,0,111.36889613904508
-155.230755,199,3226.243363,0,198.83695698195612
-14.922003,199,3246.268036,0,66.3593869223279
-61.759367,199,3265.988686,0,100.38464692187384
-219.330214,79,3284.250445,1,14.704173453283314
12.13856,80,3302.89067,1,1.0125336383848618
-33.559803,199,3322.825268,0,102.29859079451779
-0.826876,199,3343.890412,0,49.791770019525984
-15.235723,199,3363.889064,0,59.48460181668354
1.788798,71,3382.18768,1,6.08964579831806
-113.519225,199,3402.066178,0,138.23471275094764
-76.997249,191,3422.159442,1,102.84660879352496
-107.971779,199,3443.211658,0,135.56064288133868
8.446699,79,3461.546526,1,1.93298592489082
-64.727848,199,3481.726536,0,99.55515795183578
-11.793787,199,3501.538986,0,57.19050867546862
14.465928,136,3520.607035,1,16.021247834675236
-48.428711,199,3541.52273,0,89.59629083768023
-37.995303,199,3561.278048,0,77.83643415302791
-6.976278,92,3579.833729,1,17.897145244960775
-97.446957,199,3599.481967,0,73.43796443647564
-11.239854,199,3619.580514,0,57.60334473310399
51.676183,199,3640.520651,0,16.74008052576945
-220.18997,85,3659.005029,1,5.84055986658478
-1.349221,79,3678.483533,1,9.00390290702714
-116.346269,199,3698.67889,0,199.0
16.306555,199,3718.771172,0,35.689423053069
-5.209751,78,3737.183225,1,14.437151450911651
-1.906815,89,3755.795249,1,8.746472372963952
-37.88778,79,3775.087749,1,13.796209323248874
-531.698182,199,3795.212837,0,78.54257751650722
-41.643911,199,3816.136834,0,73.38608095548089
-66.518093,199,3836.149276,0,108.7610729980504
-32.776438,199,3856.559094,0,79.33515528169607
-63.116679,68,3874.910463,1,68.0
-544.920567,199,3895.220544,0,47.42056673666835
29.728958,199,3916.296603,0,39.90514479428823
-81.37336,199,3936.342517,0,115.07411193848134
3.065437,79,3955.04339,1,6.679579793901095
29.694908,199,3975.341027,0,25.44880644185634
-10.415672,199,3995.812267,0,72.40375654810038
-132.526603,199,4016.883366,0,116.86182088936553
-57.279486,199,4037.025238,0,92.89170416984109
-95.310401,199,4057.445878,0,101.31142543545533
17.609015,199,4078.464514,0,40.81693638339137
-591.696027,199,4099.057278,0,94.19602681805958
-72.01627,199,4119.576207,0,123.23125830804364
-47.484103,199,4139.797863,0,95.47286010009105
-218.415107,199,4160.118407,0,184.4329395268205
-10.587468,79,4179.877435,1,17.316002148348865
-214.81926,82,4198.794442,1,13.771869341150847
3.329501,199,4219.723079,0,82.32222255241065
42.203373,199,4240.270597,0,34.84113758300543
37.955606,199,4260.957977,0,35.561403603262825
-549.895007,199,4282.319702,0,52.39500708553771
29.76503,199,4303.099702,0,37.52591847147368
-63.862095,199,4323.763629,0,106.03701050281424
-71.705604,82,4342.888801,1,82.0
8.079366,199,4363.312842,0,56.237877620807105
-81.41424,182,4384.404726,1,107.5637091519811
-69.570751,82,4403.466063,1,82.0
10.924529,81,4422.623927,1,3.641818223334744
-222.230028,78,4441.612569,1,20.246235689736203
-73.66276,199,4462.156114,0,111.50459718222032
-3.153796,79,4482.036404,1,11.51547854672552
-53.316649,199,4502.593978,0,94.04364440918266
-9.332131,102,4522.156637,1,22.991164550778876
-65.960171,199,4542.773405,0,114.95258602125743
57.702616,199,4563.389995,0,22.49947306521203
-433.114703,146,4584.228696,1,67.09374275329668
23.043995,126,4604.092172,1,16.50514495398324
-566.842913,199,4624.943697,0,69.34291325105261
2.558861,83,4644.42236,1,9.370438186841819
-42.559412,78,4663.682744,1,42.1289401502471
-97.138751,199,4685.158309,0,124.00010143819462
-225.555602,199,4706.111168,0,91.63760412436704
-591.699322,199,4726.997586,0,94.1993215168185
-134.013638,199,4748.474688,0,156.48878881984865
-312.961521,172,4769.081755,1,172.0
-585.953138,199,4790.9745,0,88.45313754814487
2.376765,199,4811.819053,0,53.9464626868089
-74.707402,199,4832.711073,0,117.90665268246259
-6.48083,78,4852.610123,1,14.340539902768947
-5.835643,79,4871.861961,1,14.6756603789533
2.938305,80,4891.87675,1,9.975879400457286
-26.070837,199,4912.809968,0,73.86076962821424
-94.426552,199,4933.726035,0,129.90431662590595
-32.507796,199,4955.508453,0,85.31792699793087
-541.576886,199,4976.325066,0,104.86687148973773
-53.250842,199,4997.636523,0,92.43647162847843
-45.396828,199,5018.564365,0,87.37386267892184
12.089497,199,5039.949236,0,51.23624104393055
-178.722427,199,5061.205751,0,156.27804646100378
-58.963848,178,5082.01175,1,89.75820003031694
34.89068,199,5103.260665,0,47.839440687481485
-32.19674,199,5125.106865,0,82.14592972014468
-15.182795,146,5145.583943,1,37.77904671226704
-135.66601,199,5166.919842,0,175.76625510806565
-582.002053,199,5188.594301,0,126.24484384252516
-1.815363,191,5210.010763,1,40.02531455740906
-6.432863,78,5229.835124,1,15.76013080351407
-542.55638,199,5250.866205,0,132.83620689265615
-122.186076,199,5272.364978,0,193.2003963130292
-255.89762,199,5294.393286,0,118.87329204754562
-80.689594,199,5315.512153,0,128.1974995911691
-11.945274,78,5335.250846,1,19.52555130690663
-4.522105,78,5354.944813,1,14.515320745929458
-56.641389,199,5376.003599,0,85.45607806851712
-100.048094,199,5397.300203,0,131.4586526672056
-1.330219,199,5418.418566,0,56.615290569371226
-32.146448,199,5439.935017,0,92.51770960132224
-13.602053,77,5460.542667,1,22.05324001464479
-623.948452,199,5481.896258,0,126.57372137795615
-403.624664,199,5503.229439,0,28.27810839656761
24.25325,199,5525.268387,0,41.898516877120805
-45.649188,199,5546.644601,0,99.82369339981021
-110.62012,199,5568.309138,0,140.75082985561784
-47.107008,199,5590.833094,0,80.68566804127737
-560.483268,199,5612.347379,0,62.98326751276409
