episode,reward,length,collision,coverage,total_collision,total_coverage
0,-2.8518025277007837,199,0,0.3438362844306117,0.0,0.3438362844306117
1,-515.119421094656,199,0,0.3660887068954495,0.0,0.7099249913260612
2,-21.414838083088398,199,0,0.33021095037729575,0.0,1.0401359417033569
3,48.825522512197495,199,0,0.14323182992621522,0.0,1.183367771629572
4,-7.605624069692567,79,1,0.21483347764745234,1.0,1.3982012492770244
5,-16.913880991749465,79,1,0.27309550800769183,2.0,1.6712967572847162
6,-71.5102623855928,199,0,0.4801685571919808,2.0,2.151465314476697
7,-5.383672419004142,79,1,0.15716402615428518,3.0,2.3086293406309824
8,-33.11618658971565,199,0,0.3959705008027523,3.0,2.7045998414337347
9,-539.0728461742401,199,0,0.20890878086033615,3.0,2.9135086222940707
10,-530.8466637134552,199,0,0.167571174522275,3.0,3.0810797968163457
11,32.824923229403794,199,0,0.1212567790187352,3.0,3.202336575835081
12,-42.46011476311833,199,0,0.47611339656604534,3.0,3.6784499724011264
13,-34.481226158095524,199,0,0.3890562811144382,3.0,4.067506253515565
14,-77.59265694022179,199,0,0.6814104360604429,3.0,4.748916689576008
15,19.386722395633115,199,0,0.13803595049591955,3.0,4.886952640071928
16,-28.268409597687423,199,0,0.37017599949447233,3.0,5.2571286395664005
17,6.08901014784351,199,0,0.226170455649922,3.0,5.4832990952163225
18,5.540486344259989,199,0,0.23342242173830227,3.0,5.716721516954625
19,41.26551375538111,199,0,0.10485790815350222,3.0,5.821579425108127
20,-207.5,80,1,0.0007582097284279708,4.0,5.822337634836555
21,-232.15222573280334,88,1,0.054539870930272245,5.0,5.876877505766827
22,-61.13540369272232,86,1,0.9235247360480207,6.0,6.800402241814847
23,6.49225839227438,79,1,0.05635403492202102,7.0,6.856756276736868
24,2.284991786815226,199,0,0.2111590505638616,7.0,7.06791532730073
25,-539.3187901973724,199,0,0.21014468370982,7.0,7.27806001101055
26,-106.97637104988098,199,0,0.910221640628493,7.0,8.188281651639043
27,-5.7074437397532165,161,1,0.196576568971088,8.0,8.38485822061013
28,4.798223754391074,79,1,0.04681194455271651,9.0,8.431670165162847
29,-22.386963680619374,199,0,0.3582490899538097,9.0,8.789919255116658
30,-11.556825772044249,199,0,0.270969225898367,9.0,9.060888481015025
31,-14.98459715442732,199,0,0.3063267861916302,9.0,9.367215267206655
32,10.238618552684784,79,1,0.0027297562127969626,10.0,9.369945023419453
33,-499.3241844177246,199,0,0.009166757285443673,10.0,9.379111780704896
34,42.147357281297445,199,0,0.11568143836635655,10.0,9.494793219071253
35,-3.744683066383004,79,1,0.1595631503215885,11.0,9.654356369392842
