#{"t_start": 1764962426.3704934, "env_id": "None"}
r,l,t,collision,coverage_total
32.767314,199,18.153499,0,29.23085553972435
42.741593,199,35.373997,0,20.80863311661897
-80.696244,179,52.139667,1,34.56334316637618
-64.21995,199,69.00174,0,85.05182618325853
57.612808,199,85.966541,0,18.4517783013151
-11.546888,199,103.189347,0,55.93480312491649
-139.094455,199,120.388363,0,199.0
29.280598,199,137.62347,0,27.23033434490562
22.972116,199,154.780739,0,40.49195837376154
11.361716,80,170.270895,1,0.0
68.103988,199,187.510606,0,11.445307058610627
70.989833,199,204.583578,0,8.915218239401588
-114.159096,199,221.655984,0,121.50853153637323
59.164171,199,238.820435,0,16.603008322520235
34.958534,199,255.992179,0,27.749313078335923
-146.258282,199,273.073054,0,193.37752163809
-503.770419,199,290.295043,0,6.270419085429274
11.215774,80,306.032689,1,0.0
-60.521028,69,321.621341,1,69.0
-2.138914,71,337.279511,1,7.866399036631634
8.005237,80,353.027497,1,3.88632620414274
9.345627,80,368.698147,1,2.3555917900408145
-519.265296,199,386.130325,0,21.76529586691441
32.478271,199,403.462265,0,21.63464611728007
11.220401,80,419.293182,1,0.3142982831228103
25.85318,199,436.639186,0,18.04152256073858
-497.5,199,453.911443,0,0.0
-44.900247,199,471.148042,0,99.65822751628254
6.645554,72,486.825231,1,0.6734872444103176
48.241172,199,504.152596,0,0.0
47.736312,199,521.540746,0,2.823899014871504
-12.708581,199,538.860318,0,59.29859925471812
10.464144,80,554.937474,1,0.0
27.981224,163,572.011641,1,7.58200411853424
-207.557763,80,587.889284,1,0.1433341367431042
9.518294,80,603.865892,1,0.0
44.274643,199,621.380579,0,2.5533367854196567
33.302744,199,638.724914,0,5.317396770086519
23.956777,156,655.817456,1,0.0
-499.548324,199,673.457703,0,2.048323750700862
51.080731,199,690.854676,0,3.3765656099573054
10.406083,81,706.848444,1,0.0
48.737168,199,724.444891,0,0.0
44.87069,199,741.921204,0,0.0
-225.0,87,758.17943,1,0.0
45.749135,199,775.932347,0,7.133930614296991
48.639746,199,793.648314,0,4.920878959519873
49.662977,199,811.24366,0,3.2615848218059393
57.859666,199,828.964258,0,0.8573614375544947
-155.314272,199,846.482831,0,199.0
48.615233,199,864.112875,0,0.46184905988301694
-265.0,103,880.594938,1,0.0
39.949243,199,898.263874,0,5.533987944229836
10.965887,77,914.481387,1,0.0
57.119744,199,932.450137,0,0.0
8.676904,80,948.616551,1,0.0
-71.750841,84,964.972572,1,84.0
11.351759,80,981.14506,1,0.0
29.835784,199,998.879072,0,8.315792815182713
45.304175,199,1016.873666,0,5.986856151937929
59.200397,199,1034.772862,0,3.893176224994056
51.387324,199,1052.984559,0,0.0
12.758051,80,1069.301771,1,0.5615755851935121
-504.211335,199,1087.372725,0,6.7113352589121416
61.038223,199,1105.480852,0,17.39845433262707
-207.5,80,1121.823943,1,0.0
10.552326,80,1138.10048,1,0.0
36.053831,199,1156.3346,0,18.858780549962443
25.702345,155,1173.714206,1,3.0575058959801065
-137.41928,199,1191.861982,0,181.65199295463216
58.977879,199,1209.762316,0,0.5945128541672425
9.862682,199,1227.550792,0,33.90828693506027
-136.846919,199,1245.680014,0,192.41363019493917
-71.058171,199,1263.665463,0,137.80799516238287
53.869968,199,1281.870108,0,0.8825185483188059
-257.5,100,1298.746559,1,0.0
-140.806651,199,1316.72401,0,199.0
24.393666,120,1333.725411,1,2.3292547607411507
2.950029,72,1350.275477,1,3.986718718602857
10.356315,80,1366.700446,1,0.0
-151.633007,80,1383.151462,1,0.0
58.078034,199,1401.393864,0,0.0
22.389683,199,1419.701167,0,23.69035725306923
9.081973,80,1436.328323,1,0.0
5.052924,79,1452.748587,1,4.5423644630433655
56.32376,199,1470.836727,0,15.19767168416829
0.02967,199,1489.207693,0,33.912828458006025
-13.772673,199,1507.320192,0,50.50297681519071
19.098565,199,1525.68682,0,25.46281656485016
51.865455,199,1544.008755,0,7.675905774991389
9.391264,80,1560.64469,1,0.0
-152.257622,199,1578.961595,0,199.0
49.964329,199,1597.389881,0,0.0
-76.653746,199,1615.650367,0,122.87957230509505
56.493968,199,1633.910392,0,0.0
11.91048,85,1650.857489,1,0.0
9.213595,80,1667.856352,1,0.0
39.819638,199,1686.267504,0,0.0
9.764365,80,1703.006193,1,0.0
49.511211,199,1721.377926,0,0.0
49.359203,199,1739.804605,0,0.6809984209188564
11.124789,80,1756.542774,1,0.0
-490.714318,199,1774.98208,0,17.267505694325237
-497.5,199,1793.308002,0,0.0
50.877689,199,1811.751102,0,0.0
19.124041,199,1830.283112,0,24.794957992609373
-140.531384,199,1848.777858,0,195.32832561249262
49.498104,199,1867.282366,0,0.0
-4.464859,199,1885.660546,0,41.22483835050242
-478.226458,199,1904.274859,0,0.0
-152.017328,199,1922.766985,0,199.0
10.91968,80,1939.760921,1,0.0
10.028088,80,1956.719201,1,0.0
55.948363,199,1975.350969,0,0.0
48.196876,199,1994.136025,0,0.0
25.895213,142,2011.93978,1,0.17024514244749056
54.410092,199,2030.955559,0,0.3770405786757313
54.838828,199,2049.746248,0,2.104258422329964
44.012702,199,2068.580301,0,9.734930262110103
10.516276,80,2085.846504,1,0.0
32.857483,199,2104.343058,0,15.322143099631921
10.087986,80,2121.618659,1,0.0
60.242771,199,2140.250005,0,0.7251204857826778
8.222017,80,2157.422095,1,0.0
9.084166,80,2174.752964,1,0.0
8.156122,80,2191.998879,1,0.0
-143.248165,199,2211.044857,0,189.53012727321982
8.773636,80,2228.403356,1,0.0
1.918873,199,2247.208439,0,47.980837628824496
8.215576,80,2264.51212,1,0.0
47.783973,199,2283.371115,0,0.0
9.363508,81,2300.873703,1,0.0
-410.001345,199,2319.808358,0,0.21196880763560277
14.47602,136,2337.705818,1,11.84786323667659
44.331635,199,2357.014935,0,0.0
45.898882,199,2376.157025,0,0.0
8.480216,80,2393.481704,1,0.0
49.642031,199,2412.528403,0,3.6356465013658887
-497.5,199,2432.12087,0,0.0
49.743603,199,2451.64661,0,0.0
47.633972,199,2471.249959,0,9.119283422865172
50.165515,199,2490.659197,0,4.300733319393115
8.830169,81,2508.552963,1,0.0
36.95674,199,2528.022818,0,0.0
45.007238,199,2547.608277,0,0.0
22.797378,129,2566.232669,1,0.0
7.807319,72,2583.894079,1,0.0
-240.020788,199,2603.516994,0,0.0
42.975092,199,2622.896215,0,13.768171340276872
-141.784004,199,2642.356534,0,199.0
43.638062,199,2661.768302,0,0.0
-180.524292,199,2681.502578,0,2.0827280052645074
-210.0,81,2699.365735,1,0.0
40.662902,199,2718.751455,0,20.27697258376398
41.992635,199,2738.1606,0,0.0
44.253656,199,2757.458915,0,11.331053867037069
39.762828,199,2777.099634,0,0.0
-3.551472,199,2796.721734,0,48.61428100012062
40.549746,199,2816.336563,0,18.58572318501288
-73.012066,84,2834.498893,1,84.0
45.76409,199,2854.113995,0,0.0
47.803307,199,2873.563369,0,0.0
46.676125,199,2893.617279,0,0.0
9.045597,80,2911.85311,1,0.0
38.843463,199,2931.4009,0,22.267483727643164
-154.847432,199,2951.187353,0,198.1392746938485
43.100885,199,2970.675634,0,15.057692952350136
44.268088,199,2990.672297,0,11.556185011418961
29.914457,199,3010.292404,0,14.64612440691804
7.6276,80,3028.516026,1,0.0
-485.47818,199,3048.414455,0,7.228673805524564
37.602095,199,3068.160325,0,0.0
7.78354,80,3086.369538,1,0.0
7.894308,80,3104.693008,1,0.0
8.537839,80,3122.848737,1,0.0
9.782957,80,3140.940336,1,0.0
43.292006,199,3160.601594,0,0.0
45.106601,199,3180.528064,0,0.0
-127.210431,199,3200.565218,0,0.0
41.767434,199,3220.41359,0,18.50568877396526
45.609239,199,3240.35704,0,11.273330678836185
7.497439,79,3258.527193,1,1.271505044597279
23.593197,162,3278.008444,1,0.0
39.416067,199,3297.918804,0,0.0
8.014573,80,3316.127719,1,0.0
44.71637,199,3336.248793,0,0.0
8.468769,80,3354.606869,1,0.0
45.470312,199,3374.381989,0,0.0
9.148321,80,3392.704021,1,0.0
18.740018,142,3411.829365,1,0.0
-536.791695,199,3431.842352,0,39.29169475613298
43.161586,199,3451.849486,0,0.0
-114.240203,199,3472.032311,0,152.07331281087568
-497.5,199,3492.120994,0,0.0
4.831624,199,3511.922235,0,35.38849895866705
37.617408,199,3531.956388,0,0.0
9.426632,80,3550.543773,1,0.0
45.417686,199,3570.339239,0,11.26860394146526
20.175879,143,3589.496629,1,0.0
47.38823,199,3609.303658,0,8.447142260273289
8.834498,84,3627.65371,1,4.388209480048534
45.103593,199,3647.643333,0,0.0
8.707318,80,3666.160048,1,0.0
7.901938,80,3684.600674,1,0.0
8.999789,80,3703.117163,1,0.0
8.433822,80,3721.566942,1,0.0
49.328579,199,3741.554137,0,5.6138004911758985
34.663743,199,3761.405739,0,0.0
-165.058092,199,3781.631156,0,199.0
9.266966,80,3800.214284,1,0.0
8.018652,81,3818.880449,1,0.0
40.877509,199,3839.018045,0,0.0
41.540926,199,3859.141918,0,0.0
43.703273,199,3879.079249,0,14.20904954025935
6.61013,72,3897.689147,1,2.4636960865601436
40.990748,199,3917.977895,0,0.0
-105.029686,199,3938.158622,0,147.1135162654997
8.533808,80,3956.864609,1,0.0
-497.5,199,3977.116839,0,0.0
44.823881,199,3997.33867,0,0.0
8.550872,80,4016.235494,1,0.0
43.783334,199,4036.274564,0,0.0
9.38241,80,4054.974027,1,0.0
44.063952,199,4075.121975,0,0.0
42.333005,199,4095.377552,0,0.0
9.949313,80,4114.139351,1,0.0
8.891733,80,4132.869437,1,0.0
-497.5,199,4153.244652,0,0.0
7.645909,80,4172.029243,1,0.0
42.93647,199,4192.396597,0,0.0
41.388027,199,4212.682681,0,0.0
41.31904,199,4233.294489,0,0.0
45.278525,199,4253.721198,0,8.715049158988654
43.795913,199,4274.070992,0,0.0
8.047158,80,4292.846963,1,0.0
8.347817,80,4311.601567,1,0.10068631714293068
7.296915,80,4330.337811,1,0.0
45.266787,199,4350.735132,0,0.0
-151.803168,199,4371.481462,0,199.0
54.235087,199,4391.869308,0,0.15529464547467176
-508.437409,199,4412.598203,0,10.937409057176572
48.126264,199,4433.06955,0,0.0
48.685246,199,4453.588098,0,8.362440441327712
8.667327,80,4472.975813,1,0.0
9.087665,80,4492.15681,1,0.0
-497.5,199,4513.035472,0,0.0
54.064606,199,4534.025683,0,3.2265486062078184
14.592279,118,4553.677217,1,5.149283274996747
4.331791,79,4573.066948,1,4.1997720250885635
27.245935,172,4593.661491,1,4.734133032698325
-117.222507,199,4614.464881,0,21.92020593063807
34.717593,199,4635.187817,0,5.81845659772698
8.287193,102,4654.652603,1,5.497757796355107
-509.061398,199,4675.339517,0,11.561397642184167
7.328256,71,4694.371454,1,0.0
31.456521,199,4715.542525,0,16.02715007451258
36.842383,199,4736.546368,0,13.627992887102028
-499.672686,199,4757.617285,0,2.172686040717516
26.610861,199,4778.657238,0,22.086458842896256
-23.987483,199,4799.559565,0,58.18395751189313
-510.589708,199,4820.588222,0,13.089707830151275
18.410931,111,4840.602169,1,10.576381904479703
-529.869446,199,4861.531957,0,32.36944626434607
11.317443,80,4880.838,1,0.0
10.939114,80,4900.321771,1,0.1014741989331592
4.970224,79,4919.897731,1,4.877225313893566
