episode,reward,length,collision,coverage,total_collision,total_coverage
0,32.76731441169977,199,0,0.1468887213051475,0.0,0.1468887213051475
1,42.74159245938063,199,0,0.10456599556089935,0.0,0.2514547168660468
2,-80.69624422525521,179,1,0.1930913026054535,1.0,0.4445460194715003
3,-64.2199502652511,199,0,0.4273961114736609,1.0,0.8719421309451612
4,57.6128084808588,199,0,0.09272250402670905,1.0,0.9646646349718702
5,-11.546887757955119,199,0,0.28107941268802256,1.0,1.2457440476598927
6,-139.09445583820343,199,0,1.0,1.0,2.2457440476598927
7,29.280598097480834,199,0,0.13683585097942524,1.0,2.382579898639318
8,22.972116432036273,199,0,0.2034771777575957,1.0,2.5860570763969135
9,11.361716151237488,80,1,0.0,2.0,2.5860570763969135
10,68.1039876639843,199,0,0.05751410582216396,2.0,2.6435711822190773
11,70.98983356356621,199,0,0.04480009165528436,2.0,2.6883712738743615
12,-114.15909576881677,199,0,0.6105956358611719,2.0,3.298966909735533
13,59.16417069733143,199,0,0.08343220262572983,2.0,3.382399112361263
14,34.9585340321064,199,0,0.13944378431324583,2.0,3.521842896674509
15,-146.25828194618225,199,0,0.9717463398898996,2.0,4.493589236564408
16,-503.7704176902771,199,0,0.03150964364537324,2.0,4.525098880209781
17,11.215773701667786,80,1,0.0,3.0,4.525098880209781
18,-60.52102792263031,69,1,1.0,4.0,5.525098880209781
19,-2.138913631439209,71,1,0.11079435262861456,5.0,5.635893232838396
20,8.005236878991127,80,1,0.04857907755178425,6.0,5.68447231039018
21,9.345627501606941,80,1,0.029444897375510183,7.0,5.71391720776569
22,-519.2652957439423,199,0,0.10937334606489653,7.0,5.823290553830587
23,32.47827135771513,199,0,0.10871681465969885,7.0,5.932007368490286
24,11.220400601625443,80,1,0.003928728539035128,8.0,5.935936097029321
25,25.85318028740585,199,0,0.09066091739064613,8.0,6.026597014419967
26,-497.5,199,0,0.0,8.0,6.026597014419967
27,-44.9002465903759,199,0,0.5007951131471484,8.0,6.527392127567116
28,6.645554393529892,72,1,0.009353989505698856,9.0,6.5367461170728145
29,48.241172179579735,199,0,0.0,9.0,6.5367461170728145
30,47.73631243407726,199,0,0.014190447310912081,9.0,6.5509365643837265
31,-12.70858105039224,199,0,0.29798291082772926,9.0,6.8489194752114555
32,10.464144334197044,80,1,0.0,10.0,6.8489194752114555
33,27.981223821640015,163,1,0.04651536269039411,11.0,6.89543483790185
34,-207.557763338089,80,1,0.0017916767092888025,12.0,6.8972265146111384
35,9.518294543027878,80,1,0.0,13.0,6.8972265146111384
36,44.274643301963806,199,0,0.012830838117686717,13.0,6.910057352728825
37,33.30274414271116,199,0,0.026720586784354364,13.0,6.9367779395131794
38,23.956776946783066,156,1,0.0,14.0,6.9367779395131794
39,-499.5483236312866,199,0,0.01029308417437619,14.0,6.947071023687555
40,51.080731108784676,199,0,0.016967666381695,14.0,6.96403869006925
41,10.406082540750504,81,1,0.0,15.0,6.96403869006925
42,48.73716823756695,199,0,0.0,15.0,6.96403869006925
43,44.870689645409584,199,0,0.0,15.0,6.96403869006925
44,-225.0,87,1,0.0,16.0,6.96403869006925
45,45.74913540482521,199,0,0.03584889755928136,16.0,6.999887587628532
46,48.639745965600014,199,0,0.024728034972461677,16.0,7.024615622600994
47,49.66297625005245,199,0,0.016389873476411757,16.0,7.041005496077405
48,57.859666004776955,199,0,0.004308348932434647,16.0,7.04531384500984
49,-155.31427240371704,199,0,1.0,16.0,8.04531384500984
50,48.615232706069946,199,0,0.002320849547150839,16.0,8.04763469455699
51,-265.0,103,1,0.0,17.0,8.04763469455699
52,39.94924323260784,199,0,0.027808984644371038,17.0,8.075443679201362
53,10.965886726975441,77,1,0.0,18.0,8.075443679201362
54,57.119744062423706,199,0,0.0,18.0,8.075443679201362
55,8.676904007792473,80,1,0.0,19.0,8.075443679201362
56,-71.75084084272385,84,1,1.0,20.0,9.075443679201362
57,11.351758822798729,80,1,0.0,21.0,9.075443679201362
58,29.83578446507454,199,0,0.04178790359388298,21.0,9.117231582795245
59,45.304175049066544,199,0,0.030084704281095123,21.0,9.14731628707634
60,59.20039738714695,199,0,0.01956369962308571,21.0,9.166879986699426
61,51.38732412457466,199,0,0.0,21.0,9.166879986699426
62,12.758051604032516,80,1,0.007019694814918901,22.0,9.173899681514344
63,-504.21133518218994,199,0,0.033725302808603724,22.0,9.207624984322948
64,61.03822284936905,199,0,0.08742941875691995,22.0,9.295054403079867
65,-207.5,80,1,0.0,23.0,9.295054403079867
66,10.552325546741486,80,1,0.0,24.0,9.295054403079867
67,36.05383153259754,199,0,0.09476774145709771,24.0,9.389822144536964
68,25.702344730496407,155,1,0.019725844490194235,25.0,9.409547989027159
69,-137.41928040981293,199,0,0.9128240851991566,25.0,10.322372074226315
70,58.97787915170193,199,0,0.002987501779734887,25.0,10.32535957600605
71,9.862682431004941,199,0,0.17039340168371994,25.0,10.49575297768977
72,-136.84691911935806,199,0,0.9669026642961768,25.0,11.462655641985947
73,-71.05817058682442,199,0,0.6925024882531803,25.0,12.155158130239126
74,53.86996786296368,199,0,0.004434766574466361,25.0,12.159592896813592
75,-257.5,100,1,0.0,26.0,12.159592896813592
76,-140.80665123462677,199,0,1.0,26.0,13.159592896813592
77,24.393665596842766,120,1,0.01941045633950959,27.0,13.179003353153101
78,2.950028834864497,72,1,0.05537109331392857,28.0,13.23437444646703
