#{"t_start": 1764970773.8894632, "env_id": "None"}
r,l,t,collision,coverage_total
-109.409697,97,17.379077,1,7.904859126057372
-145.384464,199,34.938586,0,93.84897551929411
5.573558,79,50.633443,1,3.9335823450240586
4.139857,80,66.546241,1,4.568936452910492
-283.134998,104,82.718663,1,15.874303384402884
-52.679863,199,100.06893,0,96.12640921033768
-545.939424,199,117.570036,0,98.08646116516852
44.832399,199,134.956727,0,22.584135428007038
2.072562,79,150.922229,1,8.0660954948058
29.370378,199,168.494723,0,30.392967560790048
5.521733,79,184.302021,1,4.929856833778548
4.421982,72,200.184608,1,3.7755297851572323
6.004945,72,216.12776,1,2.4987460141370756
12.548221,80,232.069996,1,0.23072937498393264
-539.124864,199,249.504978,0,41.62486383294915
-27.026781,199,267.037816,0,75.49176168705475
-190.414422,152,284.10807,1,28.32505947619969
30.144579,199,301.544272,0,19.721737587500357
26.421774,199,318.937915,0,31.487326093924757
51.476194,199,336.644149,0,0.9610665872493748
-304.887445,117,353.092675,1,4.9731222326872455
39.34913,199,370.623787,0,14.090006118080808
1.76909,199,388.174323,0,52.99076075986957
-511.234634,199,405.690356,0,13.73463425123047
13.371615,199,423.294364,0,35.359378721425024
-5.26013,79,439.227531,1,16.71158280379399
-364.243133,136,455.851871,1,17.046521412879603
57.37479,199,473.201405,0,0.7257965134762713
-524.73031,199,490.836195,0,27.230309730848596
2.114991,79,506.842527,1,6.878394960953308
-5.908946,199,524.593891,0,50.4328885273785
27.117619,199,542.171077,0,23.699880840789916
-60.365647,68,557.998799,1,68.0
-213.387061,79,573.959985,1,8.67153773891813
3.104345,80,590.011036,1,5.65771770708925
39.82462,199,607.790944,0,27.583620825545026
38.214561,199,625.463841,0,20.959427623209294
-542.391322,199,643.228004,0,44.8913223586461
14.811895,172,660.901028,1,14.406050524007496
19.024237,199,678.583928,0,27.883998504666742
48.567054,199,696.039625,0,3.895032172629621
-303.897854,118,712.740081,1,1.493198919882739
45.753807,199,730.579404,0,5.933886054843775
10.420322,80,746.650434,1,0.050032348632839785
36.922857,199,764.294144,0,14.99448485067656
7.203207,199,782.289068,0,31.000121530226426
42.841296,199,800.149224,0,10.270656711667199
0.514754,80,816.305555,1,7.27125805375975
31.150563,199,834.289855,0,16.54941477315288
34.122434,199,852.024329,0,8.28533688753798
-208.2797,80,868.160366,1,0.7796996916831214
6.285266,80,884.299819,1,1.9513245451353742
52.525132,199,902.152432,0,0.26503541534454517
38.028872,199,919.859569,0,3.4025594669260606
1.772564,86,936.178788,1,9.545500378337692
45.191447,199,954.116123,0,8.442089205649522
36.405123,199,972.037819,0,12.306924057941837
49.898216,199,990.02672,0,0.0
43.216651,199,1007.844444,0,6.104116133872225
41.418432,199,1025.670719,0,5.083881248781957
45.712167,199,1043.677758,0,0.20459980299660252
41.309038,199,1061.598104,0,13.896104467541853
27.091294,158,1078.84029,1,2.307111509217408
44.14974,199,1097.077098,0,0.0
23.885759,145,1114.299845,1,1.1677414966937876
35.213623,199,1132.344615,0,12.511906540224086
35.292522,199,1150.532182,0,5.8875074202038835
8.128052,105,1167.255828,1,8.907369101067525
45.863718,199,1185.110959,0,6.989403679983409
9.094831,80,1201.585452,1,0.38979598645510105
11.675411,199,1219.538488,0,29.782363057857225
43.743459,199,1237.392002,0,4.467495869495782
-42.204661,80,1253.730302,1,1.3823201853307097
5.6589,80,1270.31117,1,3.4768444824230755
-515.786492,199,1288.510489,0,18.28649221584201
-11.498849,199,1306.487852,0,52.6802926336423
40.082334,199,1324.735596,0,7.715561371357813
19.092172,199,1343.161346,0,31.407252495753017
8.123279,199,1361.376677,0,39.21059615580155
21.806956,199,1379.576768,0,22.765082503350378
31.133866,199,1397.903835,0,18.240423744579388
54.713632,199,1416.120914,0,0.0
16.478455,97,1433.021978,1,0.15388090048099268
-243.0009,199,1451.275829,0,23.7412343017485
-538.664739,199,1469.467335,0,41.16473863528328
-56.851571,199,1487.429506,0,12.864170716303814
-4.463252,79,1504.040949,1,12.181707763670374
-157.55063,199,1522.592908,0,196.74508145757184
-4.863172,79,1539.365727,1,13.041179170376653
-4.295348,79,1555.990401,1,12.579268710158688
-42.358407,199,1574.545982,0,81.23674507771354
-60.837194,199,1592.886352,0,97.39540926068123
-22.385199,77,1609.587535,1,27.511590488048896
-8.322523,88,1626.398079,1,21.325785588580974
-368.272436,199,1644.606766,0,94.42073354796179
-15.576525,144,1662.500451,1,36.313989814996226
-14.956702,199,1680.716242,0,57.35929629052916
-248.0,69,1697.368302,1,69.0
34.152582,199,1715.599946,0,32.814990850540305
-60.128556,199,1733.965761,0,94.81995768342759
-591.671868,199,1752.344381,0,94.17186793606395
65.373765,199,1770.578411,0,19.656209323658583
-79.135114,199,1789.220469,0,108.15069180904881
-95.43536,199,1807.670176,0,122.23780202805337
-4.407018,199,1826.323368,0,48.43730918754576
-86.78098,199,1844.617952,0,108.99408915394591
-209.202648,79,1861.59757,1,4.4040604762155935
60.377156,199,1880.010179,0,2.511198582221872
-9.017858,79,1897.039193,1,16.89178551348226
11.508271,199,1915.685511,0,35.54242051389453
-30.335047,199,1934.046147,0,69.10273918586623
30.452665,199,1952.519595,0,21.96893387235693
9.404407,199,1971.294762,0,31.26792218140214
-124.152819,199,1989.959846,0,177.7430392825769
